1;library;Stammgelände;Arcisstr. 21, 80333 München;1.OG;U2 Königsplatz/Theresienstraße;Mo-Fr 8-24, Sa-So 9-22;☎️ 089-189-659-220/nWhatsApp 0173-861-8412/n📩 information@ub.tum.de;https://www.ub.tum.de/en/branch-library-main-campus
2;library;LRZ-Stützpunkt Stammgelände;Arcisstr. 21, 80333 München;1.OG Raum 1163;U2 Königsplatz/Theresienstraße;Mo-Do 8-16, Fr 8-14;☎️ 089-189-659-220/n📩 information@ub.tum.de;https://www.ub.tum.de/oeffnungszeiten/LRZ-Stützpunkt
3;library;Medizin;Nigerstr. 3, 81675 München;;U4 Prinzregentenplatz, Tram 19 Flurstraße;Abholen vorbestellter Bücher: Mo-Fr 9-20;📩 information@ub.tum.de/nLesesaal bis 15.04.2019 wg. Umbau geschlossen;https://www.ub.tum.de/oeffnungszeiten/Medizin
4;library;Sportwissenschaft;Georg-Brauchle-Ring 62, 80992 München;1.OG;U1 Georg-Brauchle-Ring;Bis 07.04.2019:/nMo-Do 9-16, Fr 9-14;☎️ 089-289-24601/n📩 information@ub.tum.de;https://www.ub.tum.de/en/branch-library-sport-health-sciences
5;library;Life Sciences (Weihenstephan);Maximus-von-Imhof-Forum 1-3, 85354 Freising;;Bus 614/615/637-640/6002 Weihenstephan, Freising;Mo-Fr 8-24, Sa-So 10-20;☎️ 08161-713240/n📩 information@ub.tum.de;https://www.ub.tum.de/en/branch-library-life-sciences
6;library;Chemie;Lichtenbergstr. 4, 85748 Garching;EG;;Mo-Do 8-21, Fr 8-19;☎️ 089-189-659-220/n📩 information@ub.tum.de;https://www.ub.tum.de/en/branch-library-mechanical-engineering
7;library;Maschinenwesen;Boltzmannstr. 15, 85748 Garching;1. OG;;Mo-Do 8-21, Fr 8-19;☎️ 089-189-659-220/n📩 information@ub.tum.de;https://www.ub.tum.de/oeffnungszeiten
8;library;Mathematik;Boltzmannstr. 3, 85748 Garching;EG;;Mo-Fr 9-24, Sa, So, Feiertag 10-20;☎️ 089-189-659-220/n📩 information@ub.tum.de;https://www.ub.tum.de/teilbibliothek-mathematik-informatik
9;library;Physik;James-Franck-Str., 85748 Garching;1. OG;;Mo-Fr 9-21;☎️ 089-189-659-220/n📩 information@ub.tum.de;https://www.ub.tum.de/teilbibliothek-physik
10;cafeteria_gar;Mensa Garching;Lichtenbergstr. 2, 85748 Garching;;;Mo-Do 11-16, Fr 11-13:45/nvorl.frei Zeit: Mo-Do bis 14/nFr 11-13:45;Bezahlart: Legic-Karte;https://www.studentenwerk-muenchen.de/mensa/standorte-und-oeffnungszeiten/garching/#c1430
11;cafeteria_gar;Mensa Garching Infopoint;Lichtenbergstr. 2, 85748 Garching;;;Mo-Fr 11-14/nvorl.frei Zeit: bis 13:30;Bezahlart: Legic-Karte;https://www.studentenwerk-muenchen.de/mensa/standorte-und-oeffnungszeiten/garching/#c1433
12;cafeteria_gar;StuCafé Mensa Garching;Lichtenbergstr. 2, 85748 Garching;;;Mo-Do 8:30-15:45, Fr 8:30-14:15/nvorl.frei Zeit: Mo-Do bis 15:15/nFr 8:30-14:15;Bezahlart: Legic-Karte oder Bar;https://www.studentenwerk-muenchen.de/mensa/standorte-und-oeffnungszeiten/garching/#c1432
13;cafeteria_gar;StuCafé Boltzmannstraße;Boltzmannstr. 15, 85748 Garching;;;Mo-Do 8-18, Fr 8-17/nvorl.frei Zeit: Mo-Do bis 15:15/nFr bis 14:30;Bezahlart: Legic-Karte;https://www.studentenwerk-muenchen.de/mensa/standorte-und-oeffnungszeiten/garching/#c1434
14;cafeteria_gar;Espresso-Bar & Kiosk Maschinenwesen;Boltzmannstr. 15, 85748 Garching;;;Mo-Do 7-19, Fr 7-17/nvorl.frei Zeit: Mo-Do bis 17/nFr bis 15;Bezahlart: Legic-Karte oder Bar;https://www.studentenwerk-muenchen.de/mensa/standorte-und-oeffnungszeiten/garching/#c1435
15;cafeteria_gar;C2 Campus-Cneipe;Lichtenbergstr. 2, 85748 Garching;;;Di-Do 16-23;Reservierung: 08930785757 oder Online;https://www.c2.tum.de/kontakt-reservierung/
